price,bathrooms,bedrooms,distanceToCoast,LivingArea,longitude,latitude
1900000,3,5,21.4,2468,-118.37722,33.76307
1900000,2,4,21.4,1906,-118.395775,33.780186
1900000,2,3,21.4,1866,-118.38914,33.76561
1900000,2,4,0,2380,-122.42585,37.763416
1900000,2,3,16.4,1500,-122.31488,37.541443
1900000,5,6,16.4,2800,-122.31774,37.576492
1900000,4,3,26.2,1657,-121.94773,37.40076
1900000,3,4,29,4696,-118.50448,34.384197
1900000,3,3,4.8,1707,-121.94146,36.984814
1900000,3,4,8.4,2310,-122.41726,37.670486
1899000,3,5,9.1,2618,-117.301285,33.112743
1899000,4,4,15.5,2671,-118.38455,33.87234
1897000,3,4,26.9,2646,-121.90247,36.593803
1895000,2,3,0,1983,-117.25771,33.035324
1895000,3,5,0,2424,-117.252945,33.065727
1895000,4.5,4,25,4327,-121.65389,37.011276
1895000,3,4,0,3053,-122.4471,37.771656
1894000,2,3,13,1375,-118.457016,34.000877
1890850,3,3,15.5,2219,-118.37929,33.84138
1890000,5,4,0,2510,-118.37447,34.107174
1888000,4,5,0,2152,-122.419914,37.72626
1885000,4,4,0,2065,-122.43132,37.725998
1885000,3,3,0,#N/A,-122.424805,37.744213
1880000,6,5,9.1,3906,-117.23185,33.125095
1880000,5,5,25,4260,-121.60504,37.00347
1880000,1,3,0,1145,-118.436386,34.014725
1880000,5,5,0,3087,-118.42704,33.963253
1879000,2,3,0,1800,-122.49321,37.742905
1875000,2,3,0,1633,-117.25237,33.033333
1875000,2,3,19.8,1473,-118.13581,33.765003
1875000,2,4,15.5,1534,-118.381676,33.82332
1875000,4,5,0.1,2579,-117.13817,32.96615
1875000,2,3,0,1755,-122.46212,37.727604
1875000,3,3,1,1267,-119.72688,34.448544
1875000,5,5,29,4062,-118.55954,34.398746
1875000,2,3,0.3,2002,-122.04368,36.97438
1870000,2,4,28.7,1298,-121.91765,37.47449
1870000,2,2,0,1579,-122.442184,37.753376
1865000,3,5,9.1,2622,-117.26029,33.069252
1865000,2,3,28.7,1641,-121.96902,37.52922
1865000,0.5,1,1,1653,-119.696144,34.415104
1860113,2,3,28.7,1665,-122.00175,37.548733
1860000,2,3,28.7,1484,-122.026215,37.56344
1860000,3,6,19.8,3489,-122.01769,37.648346
1860000,3,3,10.5,2120,-122.4164,37.61652
1859000,2,3,1,1257,-119.72538,34.443962
1858000,2,4,28.7,1860,-121.9974,37.55887
1855000,3,3,14.8,2310,-117.022156,33.001564
1853660,3,4,23.4,2327,-121.62744,37.13333
1852730,2,3,15.5,1464,-118.383095,33.80922
1852500,2,4,0,2646,-118.36122,34.101025
1850800,3,4,28.7,1904,-122.05239,37.583084
1850000,3,4,0,2358,-117.25803,33.053017
1850000,2,4,28.7,1400,-122.035706,37.578445
1850000,4,4,28.7,2154,-122.009705,37.5524
1850000,3,4,18.3,2901,-117.86985,33.906303
1850000,1,2,10.9,982,-117.275055,32.82782
1850000,3,3,0,2529,-118.40103,33.968105
1850000,5,4,0,4014,-118.360794,34.102097
1850000,3,4,0,1774,-118.39115,33.973732
1850000,2,2,21.4,1714,-118.32188,33.761646
1850000,4,5,15.5,2134,-118.38752,33.848614
1850000,3,3,15.5,2374,-118.38692,33.831608
1850000,2,3,22.6,1400,-122.220604,37.449944
1850000,2,4,10.5,2200,-122.44077,37.62428
1850000,3,4,0.1,2460,-117.14386,33.02086
1850000,3,4,0.1,3271,-117.06961,32.90357
1850000,4,4,0,2624,-122.42239,37.762108
1850000,2,3,0,2004,-122.50741,37.755684
1850000,3,2,0,1739,-122.44491,37.77524
1850000,1,3,1,#N/A,-119.72364,34.433723
1850000,2,2,1,1627,-119.7438,34.44103
1850000,3,3,0.3,2009,-121.9872,36.973877
1850000,4,5,0.3,2112,-122.0082,36.966343
1850000,3,3,13,1713,-118.4508,33.997444
1846664,3,4,0,2852,-118.40312,33.97298
1840000,2,3,28.7,1762,-121.961426,37.569305
1840000,5,8,28.7,3990,-121.96422,37.513996
1840000,4,5,23.4,3089,-121.59892,37.15178
1840000,3,3,33.4,2816,-119.24102,34.19116
1837500,1.5,3,16.4,1690,-122.31236,37.552486
1837000,2,4,0,1678,-118.40712,33.96387
1835000,2,2,0,1088,-118.37164,34.10801
1835000,2,3,14.8,1952,-122.1668,37.86244
1835000,3,4,0.1,2741,-117.08433,32.92387
1830000,2,3,28.7,1661,-121.93315,37.50882
1830000,2,3,19.8,2046,-118.1424,33.764614
1830000,4,4,14.8,2969,-117.03076,33.00512
1830000,2,3,10.5,1540,-122.430504,37.608746
1830000,3,4,0.3,2338,-122.05119,36.976776
1829000,3,3,33.4,3188,-119.23814,34.18453
1828000,3,3,26.2,1590,-121.951546,37.39663
1825000,5,5,15.2,3164,-117.73707,33.852318
1825000,3,3,9.1,1700,-117.31151,33.109814
1825000,3,4,9.1,2607,-117.250854,33.118576
1825000,3,4,28.7,2288,-122.03076,37.572094
1825000,2,3,15.5,2290,-118.38244,33.849277
1825000,3,4,0.1,2341,-117.10235,32.926083
1825000,2,3,1,1300,-119.72332,34.415188
1822145,3,3,28.7,2881,-121.93529,37.501976
1820000,3,4,18.3,2688,-117.86646,33.908672
1820000,3,5,14.8,3342,-117.03185,32.990417
1820000,3,5,0.1,2384,-117.16756,32.93913
1820000,3,9,16.4,3847,-122.32174,37.570343
1817500,3,3,15.5,2014,-118.38364,33.850906
1815000,,,15.5,1639,-118.369286,33.868755
1815000,3,5,0.1,2888,-117.12755,32.975838
1815000,3,4,0,1985,-122.491455,37.75802
1812500,2,3,25.3,1398,-121.92309,36.615463
1811700,3,4,0,1892,-118.411255,33.96461
1811000,3,5,15.5,2350,-118.37666,33.880684
1810000,3,4,17.6,1700,-122.27948,37.54759
1810000,2,2,25.3,1115,-121.936516,36.62644
1810000,4,4,14.8,2934,-117.05279,32.966076
1810000,3,4,14.8,3102,-117.05885,32.97645
1810000,1,2,13,1021,-118.46955,33.983955
1807500,2,3,0,1446,-122.4665,37.756065
1805727,3,4,28.7,1794,-121.98934,37.5563
1805000,4,4,23.9,2827,-118.63976,34.148342
1803000,2,4,18.3,2001,-117.92993,33.9078
1802500,8,8,15.5,4170,-118.37949,33.85556
1800000,1,2,6.8,668,-121.91487,36.973194
1800000,3,4,9.1,2040,-117.24274,33.067844
1800000,2,3,23.7,1136,-122.050934,37.314434
1800000,3,3,23.7,1411,-122.07612,37.32927
1800000,5,5,6.9,2914,-122.41245,37.701508
1800000,3,4,6.9,2210,-122.49413,37.702507
1800000,2,3,0,1517,-117.25733,33.03805
1800000,2,3,28.7,1453,-122.01381,37.563084
1800000,2,4,28.7,1830,-122.026535,37.569584
1800000,2,3,11.8,1841,-117.93252,33.782265
1800000,2,3,10.9,1682,-118.213005,34.21142
1800000,2,4,12.7,2356,-117.689,33.534958
1800000,3,2,0,2193,-118.37388,34.12067
1800000,3,3,23.4,2290,-121.642235,37.152866
1800000,8,9,13.4,4486,-117.8215,33.799522
1800000,3,3,25.3,1913,-121.91132,36.617466
1800000,2,5,25.3,1802,-121.931015,36.622196
1800000,2,5,22.6,2000,-122.24143,37.47224
1800000,3,4,29.2,2986,-121.71662,36.572384
1800000,4,7,10.5,3334,-122.45776,37.633327
1800000,3,3,0.1,2979,-117.06376,33.035873
1800000,3,3,0.1,2631,-117.07363,33.02979
1800000,2,3,0,1638,-122.39388,37.758537
1800000,3,7,0,3534,-122.46259,37.757374
1800000,3,4,0,1823,-122.45619,37.725037
1800000,4,4,0,2784,-122.46484,37.753643
1800000,2,3,0,1185,-122.4983,37.754326
1800000,1,3,16.4,1350,-122.309364,37.53449
1800000,2,3,16.4,1380,-122.297585,37.53103
1800000,2,3,1,1960,-119.72805,34.44894
1800000,3,4,26.2,2223,-121.9641,37.400703
1800000,3,4,0.3,2570,-122.02679,36.998367
1800000,4,3,0.3,2393,-122.0333,36.97708
1800000,4,6,8.4,2800,-122.446365,37.64921
1800000,3,4,13,2429,-118.4543,33.99951
1800000,6,5,7.8,4015,-118.65374,34.220074
1795000,3,4,9.1,2412,-117.29386,33.10306
1795000,2,3,22.6,1610,-122.27113,37.46989
1795000,4,3,27.4,4432,-119.20898,34.300797
1794000,3,3,16.4,2360,-122.29474,37.53153
1791000,3,4,0.1,2390,-117.083435,32.91235
1790700,3,5,6.7,2439,-119.8776,34.42432
1790000,7,4,90.7,5925,-121.13197,38.782402
1790000,4,4,13.4,3264,-117.76929,33.831615
1790000,2,5,0.3,2268,-122.011765,36.974762
1785000,3,3,10.9,2593,-117.25001,32.82038
1785000,3,5,16,2060,-118.065994,33.79814
1785000,2,4,16.4,1400,-122.30554,37.556957
1782000,4,4,27.4,#N/A,-119.27346,34.280064
1780000,2,3,23.7,1610,-122.07747,37.320827
1780000,3,4,0,2598,-117.28872,33.081497
1780000,4,3,17.6,2249,-122.26841,37.565025
1780000,3,4,21.4,2102,-118.33048,33.76221
1779995,3,3,28.7,3028,-121.93529,37.501976
1777000,4,4,21.2,3000,-117.91382,33.93683
1775000,4,4,28.7,2100,-122.044395,37.578026
1775000,2,2,0.3,900,-121.9629,36.965233
1774214,4,4,9.1,2641,-117.23101,33.1259
1770000,3,5,0,1966,-118.427284,33.98977
1770000,3,3,21.4,2447,-118.39106,33.743275
1770000,3,4,21.4,2148,-118.36504,33.777073
1768888,2,3,28.7,1913,-121.996284,37.53343
1768000,3,4,10.5,2320,-122.468,37.63689
1765000,4,3,19.8,3383,-118.19546,33.82984
1763000,1,2,13,1113,-118.46426,33.98337
1760000,3,4,9.1,2700,-117.23922,33.11309
1760000,3,3,28.7,2025,-121.976585,37.572655
1760000,3,6,23.4,2976,-121.6232,37.13513
1760000,2,3,22.6,1290,-122.2427,37.46374
1760000,2,4,16.4,3080,-122.31739,37.558163
1760000,3,3,26.2,1907,-121.951775,37.401226
1758000,3,9,0,4950,-122.43377,37.76119
1755000,3,5,23.4,3378,-121.6491,37.13669
1751000,3,5,0,2039,-122.49082,37.748344
1750000,3,5,9.1,2685,-117.236755,33.12424
1750000,3,5,9.1,2661,-117.24007,33.12164
1750000,2,3,22.9,2068,-121.91938,37.820343
1750000,4,5,16.4,2825,-118.49312,34.163834
1750000,,,17.6,#N/A,-122.26901,37.56464
1750000,2,3,17.6,1866,-122.268555,37.56541
1750000,2,3,28.7,1821,-121.91614,37.477936
1750000,2,4,28.7,1616,-122.00941,37.540207
1750000,4,4,25,3285,-121.60151,37.00224
1750000,2,3,8.2,1945,-118.242485,34.12847
1750000,4,4,19.8,2724,-122.03697,37.65237
1750000,3,2,12.7,1922,-117.73684,33.512264
1750000,3,5,19.8,3132,-118.14838,33.76597
1750000,3,3,16,2074,-118.08122,33.791153
1750000,2,3,0,1871,-118.35915,34.08511
1750000,2,3,14.8,1845,-122.20833,37.892616
1750000,3,3,14.8,2709,-122.1715,37.862606
1750000,4,3,15.5,2661,-118.382355,33.849194
1750000,3,4,0.1,2479,-117.14906,32.96362
1750000,3,4,0.1,2347,-117.07309,32.925716
1750000,2,3,0,1430,-122.50578,37.754963
1750000,2,3,0,1872,-122.484344,37.734566
1750000,3,3,4.8,2656,-121.96158,37.05291
1750000,3,4,22.2,2803,-118.661865,34.177677
1750000,1,2,22.2,782,-118.629745,34.17868
1746820,3,4,22.2,2436,-118.64122,34.1658
1745000,8,10,19.8,5954,-118.19145,33.795017
1740000,4,4,0,2129,-122.48883,37.751335
1735000,3,3,16.4,1780,-122.33037,37.521885
1735000,2,3,16.4,1180,-122.291794,37.534874
1732000,2,4,14.8,2456,-117.03438,33.01744
1730625,5,8,0,3701,-122.390594,37.717243
1730000,3,3,28.7,1375,-121.96267,37.520607
1730000,2,3,8.4,1750,-122.4473,37.651558
1728000,2,3,28.7,1452,-121.96999,37.525333
1725000,7,9,15.2,4273,-117.88211,33.8169
1725000,2,3,9.1,2074,-117.30564,33.09383
1725000,2,3,28.7,1579,-122.022575,37.575157
1725000,4,4,21.4,2697,-118.31858,33.755146
1725000,2,3,0,1640,-122.413635,37.744934
1725000,1,4,1,1428,-119.71092,34.41985
1725000,3,5,1,#N/A,-119.71092,34.41984
1725000,2,3,0.3,1265,-122.01003,36.964596
1724999,5,7,29,3730,-118.50838,34.38431
1720000,3,4,25.3,1954,-121.918816,36.604137
1720000,2,3,0.1,2122,-117.070015,33.011097
1720000,4,4,0,2926,-122.4218,37.75822
1720000,3,5,0.3,3097,-121.9768,36.980717
1715000,1,4,22.6,1110,-122.24638,37.473347
1715000,4,3,0,3240,-122.46539,37.75824
1715000,2,3,16.4,1890,-122.31586,37.54534
1715000,2,3,26.2,1152,-121.96609,37.354073
1715000,2,2,13,1518,-118.46556,33.982582
1710000,2,4,22.9,1831,-121.916885,37.795048
1710000,3,3,22.6,1589,-122.22753,37.46476
1710000,2,3,10.5,1550,-122.43509,37.612095
1710000,2,3,1,1484,-119.73158,34.417686
1710000,2,3,1,1667,-119.79553,34.456234
1710000,2,2,3.5,1594,-117.24196,33.00179
1710000,3,3,8.4,1610,-122.45142,37.65355
1710000,3,3,22.2,2008,-118.627426,34.16977
1706000,,,15.2,#N/A,-117.74708,33.831158
1706000,3,4,0.1,2060,-117.08104,32.91064
1705800,,,15.2,#N/A,-117.747086,33.83116
1705000,3,3,0,1437,-118.42975,33.99002
1705000,2,3,26.2,1336,-121.96745,37.354336
1701000,2,4,28.7,1789,-122.02137,37.573452
1700676,2,4,6.8,1883,-121.825935,36.985294
1700300,5,4,9.1,4120,-117.23299,33.088898
1700000,5,5,9.1,2786,-117.278145,33.10968
1700000,4,4,23.7,1192,-122.09776,37.27122
1700000,3,4,0,2636,-117.28999,33.061573
1700000,2,3,16.4,1713,-118.49594,34.16421
1700000,3,3,17.6,1580,-122.26849,37.549065
1700000,3,4,12.7,2334,-117.70829,33.50094
